name,pop,location
Mastung,29082,"https://www.google.com/maps/?q=29.7997,66.8455"
Mananwala,28432,"https://www.google.com/maps/?q=31.588,73.6893"
Fazilpur,28213,"https://www.google.com/maps/?q=32.1763,75.0658"
Talamba,28151,"https://www.google.com/maps/?q=30.5269,72.2408"
Kunjah,28103,"https://www.google.com/maps/?q=32.5298,73.9749"
Jhawarian,27893,"https://www.google.com/maps/?q=32.3619,72.6227"
Nasirabad,27809,"https://www.google.com/maps/?q=27.3814,67.9164"
Nushki,27680,"https://www.google.com/maps/?q=29.5522,66.0229"
Sita Road,27587,"https://www.google.com/maps/?q=27.0333,67.85"
Dijkot,27469,"https://www.google.com/maps/?q=31.2174,72.9962"
Sillanwali,27023,"https://www.google.com/maps/?q=31.8254,72.5406"
Kandiaro,26807,"https://www.google.com/maps/?q=27.0592,68.2102"
Zaida,26787,"https://www.google.com/maps/?q=34.0595,72.4669"
Kunri,26773,"https://www.google.com/maps/?q=25.1787,69.5657"
Kalat,26701,"https://www.google.com/maps/?q=29.0266,66.5936"
Daud Khel,26395,"https://www.google.com/maps/?q=32.8753,71.5712"
Mitha Tiwana,26390,"https://www.google.com/maps/?q=32.2454,72.1061"
Hazro City,26309,"https://www.google.com/maps/?q=33.9099,72.4918"
Dunga Bunga,25893,"https://www.google.com/maps/?q=29.7498,73.2429"
Aman Garh,25723,"https://www.google.com/maps/?q=34.0058,71.9297"
Karor,25634,"https://www.google.com/maps/?q=31.2246,70.9515"
Kot Diji,25616,"https://www.google.com/maps/?q=27.3416,68.7082"
Kalur Kot,25574,"https://www.google.com/maps/?q=32.1551,71.2663"
Murree,25247,"https://www.google.com/maps/?q=33.9084,73.3903"
Faqirwali,25186,"https://www.google.com/maps/?q=29.468,73.0349"
Ahmadpur Sial,24889,"https://www.google.com/maps/?q=30.6779,71.7434"
Phalia,24789,"https://www.google.com/maps/?q=32.431,73.579"
Yazman,24580,"https://www.google.com/maps/?q=29.1212,71.7446"
Raja Jang,24407,"https://www.google.com/maps/?q=31.2208,74.2548"
Chak Five Hundred Seventy-five,24295,"https://www.google.com/maps/?q=31.5451,73.8289"
Pishin,24239,"https://www.google.com/maps/?q=30.5818,66.9941"
Chak One Hundred Twenty Nine Left,24053,"https://www.google.com/maps/?q=30.4292,73.0452"
Chawinda,23599,"https://www.google.com/maps/?q=32.3443,74.7051"
Ubauro,23462,"https://www.google.com/maps/?q=28.1643,69.7311"
Mithi,23431,"https://www.google.com/maps/?q=24.737,69.7971"
Akora,23288,"https://www.google.com/maps/?q=34.0034,72.1256"
Zafarwal,23078,"https://www.google.com/maps/?q=32.3446,74.8999"
Kot Samaba,22953,"https://www.google.com/maps/?q=28.5521,70.4684"
Eminabad,22679,"https://www.google.com/maps/?q=32.0424,74.26"
Kahuta,22551,"https://www.google.com/maps/?q=33.5918,73.3874"
Ranipur,22495,"https://www.google.com/maps/?q=27.2872,68.5062"
Kulachi,22376,"https://www.google.com/maps/?q=31.9306,70.4596"
Khanpur Mahar,22273,"https://www.google.com/maps/?q=27.8409,69.413"
Hingorja,22263,"https://www.google.com/maps/?q=27.2109,68.416"
Naukot,22081,"https://www.google.com/maps/?q=24.8582,69.4015"
Pind Dadan Khan,22001,"https://www.google.com/maps/?q=32.5866,73.0446"
Kanganpur,21788,"https://www.google.com/maps/?q=30.7647,74.1229"
Faruka,21747,"https://www.google.com/maps/?q=31.8864,72.4136"
Kotli Loharan,21463,"https://www.google.com/maps/?q=32.5889,74.4947"
Shahpur Chakar,21446,"https://www.google.com/maps/?q=26.1541,68.6501"
Talhar,21154,"https://www.google.com/maps/?q=24.8845,68.8144"
Pad Idan,20919,"https://www.google.com/maps/?q=26.7745,68.3009"
Kot Ghulam Muhammad,20897,"https://www.google.com/maps/?q=32.3331,74.5469"
Qadirpur Ran,20407,"https://www.google.com/maps/?q=30.2918,71.6716"
Bela,20119,"https://www.google.com/maps/?q=26.2272,66.3118"
Surkhpur,20000,"https://www.google.com/maps/?q=32.7182,74.4477"
Dhoro Naro,19907,"https://www.google.com/maps/?q=25.5048,69.5709"
Khangarh,19698,"https://www.google.com/maps/?q=29.9145,71.1607"
Sarai Naurang,19694,"https://www.google.com/maps/?q=32.8258,70.7811"
Gharo,19524,"https://www.google.com/maps/?q=24.7418,67.5853"
Bhit Shah,19325,"https://www.google.com/maps/?q=25.8057,68.4914"
Matiari,18929,"https://www.google.com/maps/?q=25.5971,68.4467"
Dhanot,18729,"https://www.google.com/maps/?q=29.5799,71.7521"
Warah,18724,"https://www.google.com/maps/?q=27.448,67.7965"
Lachi,18537,"https://www.google.com/maps/?q=33.3829,71.3373"
Baddomalhi,18435,"https://www.google.com/maps/?q=31.9904,74.6641"
Jand,18170,"https://www.google.com/maps/?q=33.433,72.0188"
Chak Two Hundred Forty-nine Thal Development ,18126,"https://www.google.com/maps/?q=31.1777,71.2048"
Dera Bugti,18120,"https://www.google.com/maps/?q=29.0362,69.1585"
Tharu Shah,17698,"https://www.google.com/maps/?q=26.9423,68.1176"
Naushahro Firoz,17631,"https://www.google.com/maps/?q=26.8401,68.1227"
Dajal,17630,"https://www.google.com/maps/?q=29.5577,70.3761"
Daur,17577,"https://www.google.com/maps/?q=26.4553,68.3184"
Bhopalwala,17341,"https://www.google.com/maps/?q=32.4297,74.3635"
Paharpur,17294,"https://www.google.com/maps/?q=32.105,70.9706"
Bhan,16961,"https://www.google.com/maps/?q=26.5583,67.7214"
Mach,16930,"https://www.google.com/maps/?q=29.8637,67.3302"
Goth Radhan,16786,"https://www.google.com/maps/?q=27.1985,67.9535"
Uthal,16483,"https://www.google.com/maps/?q=25.8072,66.6219"
Kaleke Mandi,16361,"https://www.google.com/maps/?q=31.976,73.6"
Jiwani,16322,"https://www.google.com/maps/?q=25.0485,61.7457"
Johi,16311,"https://www.google.com/maps/?q=26.6922,67.6143"
Chhor,16301,"https://www.google.com/maps/?q=25.5126,69.7844"
Mangla,16264,"https://www.google.com/maps/?q=31.8931,72.3817"
Bhawana,16218,"https://www.google.com/maps/?q=31.5688,72.6492"
Shahr Sultan,16166,"https://www.google.com/maps/?q=29.5752,71.0221"
Jhol,16067,"https://www.google.com/maps/?q=25.9553,68.8887"
Sodhri,15977,"https://www.google.com/maps/?q=32.4621,74.1821"
Kalabagh,15976,"https://www.google.com/maps/?q=32.9616,71.5464"
Sinjhoro,15970,"https://www.google.com/maps/?q=26.0301,68.8087"
Kamar Mushani,15867,"https://www.google.com/maps/?q=32.8432,71.3619"
Kallar Kahar,15800,"https://www.google.com/maps/?q=32.78,72.6979"
Chuhar Jamali,15781,"https://www.google.com/maps/?q=24.3944,67.993"
Harnoli,15669,"https://www.google.com/maps/?q=32.2787,71.5543"
Sarai Sidhu,15632,"https://www.google.com/maps/?q=30.5948,71.9699"
Choa Saidan Shah,15344,"https://www.google.com/maps/?q=32.7196,72.9863"
Dadhar,15090,"https://www.google.com/maps/?q=29.4749,67.6517"
Darya Khan,15048,"https://www.google.com/maps/?q=31.7845,71.102"
Daira Din Panah,14878,"https://www.google.com/maps/?q=30.5705,70.9372"
Garhiyasin,14810,"https://www.google.com/maps/?q=27.9063,68.5121"
Madeji,14802,"https://www.google.com/maps/?q=27.7531,68.4517"
Dokri,14800,"https://www.google.com/maps/?q=27.3742,68.0972"
Sobhodero,14623,"https://www.google.com/maps/?q=27.3048,68.3971"
Dalbandin,14621,"https://www.google.com/maps/?q=28.8885,64.4062"
Daulatpur,14574,"https://www.google.com/maps/?q=26.5016,67.9708"
Bhag,14555,"https://www.google.com/maps/?q=29.0417,67.8239"
Rasulnagar,14392,"https://www.google.com/maps/?q=32.3279,73.7804"
Chak,14275,"https://www.google.com/maps/?q=27.8584,68.8338"
Shahpur,14153,"https://www.google.com/maps/?q=32.2682,72.4688"
Tando Bago,14095,"https://www.google.com/maps/?q=24.7891,68.9653"
Baffa,14047,"https://www.google.com/maps/?q=34.4377,73.2237"
Karak,13679,"https://www.google.com/maps/?q=33.1163,71.0935"
Garhi Khairo,13666,"https://www.google.com/maps/?q=28.0603,67.9803"
Lakhi,13600,"https://www.google.com/maps/?q=27.8488,68.6997"
Gadani,13427,"https://www.google.com/maps/?q=25.1188,66.7322"
Surab,13104,"https://www.google.com/maps/?q=28.4928,66.26"
Rojhan,13031,"https://www.google.com/maps/?q=28.6873,69.9535"
Ormara,13026,"https://www.google.com/maps/?q=25.2102,64.6363"
Chamber,12746,"https://www.google.com/maps/?q=25.2936,68.8118"
Kalaswala,12576,"https://www.google.com/maps/?q=32.2008,74.6486"
Islamkot,12426,"https://www.google.com/maps/?q=24.699,70.1798"
Liliani,12211,"https://www.google.com/maps/?q=32.2039,72.9512"
